brand,type,description,current_price,spring_price,change_rate,recommendation
rick owens,mens,black moncler edition down coat,2585,1709.0820208478535,-33.884641359850924,Không nên mua
rick owens,mens,black moncler edition cyclopic down coat,2405,1709.0820208478535,-28.936298509444757,Không nên mua
rick owens,mens,black moncler edition cyclopic down jacket,3160,1709.0820208478535,-45.915125922536284,Không nên mua
rick owens,mens,taupe  green moncler edition down coat,3505,1709.0820208478535,-51.23874405569605,Không nên mua
rick owens,mens,taupe  green moncler edition cyclopic down jacket,2885,1709.0820208478535,-40.75972198101028,Không nên mua
rick owens,mens,taupe moncler edition cyclopic down jacket,2885,1709.0820208478535,-40.75972198101028,Không nên mua
rick owens,mens,taupe moncler edition radiance down jacket,2680,1709.0820208478535,-36.228282804184566,Không nên mua
rick owens,mens,taupe  green moncler edition down vest,2680,1709.0820208478535,-36.228282804184566,Không nên mua
rick owens,mens,black moncler edition radiance down jacket,2035,1709.0820208478535,-16.01562551116199,Không nên mua
rick owens,mens,taupe  green moncler edition subhuman sweatshirt,720,1709.0820208478535,137.3725028955352,Nên mua ngay
rick owens,mens,black moncler edition radiance down scarf,605,1709.0820208478535,182.49289600790968,Nên mua ngay
rick owens,mens,black moncler edition berlin sweatpants,690,1709.0820208478535,147.6930464996889,Nên mua ngay
rick owens,mens,taupe  green moncler edition berlin sweatpants,895,1709.0820208478535,90.95888501093336,Nên mua ngay
rick owens,mens,taupe moncler edition level tshirt,430,1709.0820208478535,297.46093508089615,Nên mua ngay
rick owens,mens,black moncler edition patch beanie,320,1709.0820208478535,434.0881315149542,Nên mua ngay
rick owens,mens,black moncler edition level tshirt,430,1709.0820208478535,297.46093508089615,Nên mua ngay
burberry,mens,khaki bradford reversible coat,3650,1060.5389078479,-70.94413951101643,Không nên mua
burberry,mens,beige  black vintage check reversible down jacket,2350,1060.5389078479,-54.87068477242979,Không nên mua
we11done,mens,gray oversized blazer,845,229.87521671277727,-72.79583234168317,Không nên mua
we11done,mens,black oversized blazer,845,229.87521671277727,-72.79583234168317,Không nên mua
we11done,mens,blue 1506 denim jacket,480,229.87521671277727,-52.10932985150474,Không nên mua
we11done,mens,black 1506 denim jacket,480,229.87521671277727,-52.10932985150474,Không nên mua
we11done,mens,black oversized denim jacket,500,229.87521671277727,-54.02495665744455,Không nên mua
we11done,mens,blue oversized denim jacket,500,229.87521671277727,-54.02495665744455,Không nên mua
we11done,mens,black zip jacket,490,229.87521671277727,-53.08669046678015,Không nên mua
we11done,mens,black painted hoodie,640,229.87521671277727,-64.08199738862855,Không nên mua
we11done,mens,gray pocket cardigan,395,229.87521671277727,-41.80374260436018,Không nên mua
we11done,mens,black pocket cardigan,395,229.87521671277727,-41.80374260436018,Không nên mua
we11done,mens,blue  brown raglan jacket,695,229.87521671277727,-66.9244292499601,Không nên mua
we11done,mens,brown  yellow raglan jacket,695,229.87521671277727,-66.9244292499601,Không nên mua
we11done,mens,gray wappen hoodie,425,229.87521671277727,-45.91171371464064,Không nên mua
we11done,mens,gray jqd sweater,430,229.87521671277727,-46.540647276098305,Không nên mua
we11done,mens,gray jacquard sweater,535,229.87521671277727,-57.03266977331266,Không nên mua
we11done,mens,black jacquard sweater,535,229.87521671277727,-57.03266977331266,Không nên mua
we11done,mens,black jqd sweater,430,229.87521671277727,-46.540647276098305,Không nên mua
we11done,mens,black graphic long sleeve tshirt,590,229.87521671277727,-61.03809886224114,Không nên mua
we11done,mens,gray necklace teddy tshirt,360,229.87521671277727,-36.145773135339645,Không nên mua
we11done,mens,navy wave tshirt,215,229.87521671277727,6.918705447803383,Nên mua ngay
we11done,mens,gray wave tshirt,215,229.87521671277727,6.918705447803383,Nên mua ngay
we11done,mens,black wave tshirt,215,229.87521671277727,6.918705447803383,Nên mua ngay
we11done,mens,white teddy bear tshirt,265,229.87521671277727,-13.254635202725556,Không nên mua
we11done,mens,black teddy bear tshirt,265,229.87521671277727,-13.254635202725556,Không nên mua
we11done,mens,gray printed tshirt,235,229.87521671277727,-2.1807588456266918,Không nên mua
we11done,mens,white printed tshirt,235,229.87521671277727,-2.1807588456266918,Không nên mua
we11done,mens,black printed tshirt,235,229.87521671277727,-2.1807588456266918,Không nên mua
we11done,mens,offwhite embroidered tshirt,210,229.87521671277727,9.46438891084632,Nên mua ngay
we11done,mens,white printed tshirt,300,229.87521671277727,-23.374927762407573,Không nên mua
we11done,mens,black teddy tshirt,305,229.87521671277727,-24.63107648761401,Không nên mua
we11done,mens,white colorful teddy tshirt,345,229.87521671277727,-33.369502402093545,Không nên mua
we11done,mens,gray colorful teddy tshirt,345,229.87521671277727,-33.369502402093545,Không nên mua
we11done,mens,black colorful teddy tshirt,345,229.87521671277727,-33.369502402093545,Không nên mua
we11done,mens,gray teddy tshirt,325,229.87521671277727,-29.269164088376225,Không nên mua
we11done,mens,offwhite teddy tshirt,305,229.87521671277727,-24.63107648761401,Không nên mua
we11done,mens,black necklace teddy tshirt,360,229.87521671277727,-36.145773135339645,Không nên mua
we11done,mens,black overdyed tshirt,385,229.87521671277727,-40.292151503174736,Không nên mua
we11done,mens,white printed tshirt,220,229.87521671277727,4.488734869444215,Nên mua ngay
we11done,mens,gray printed tshirt,220,229.87521671277727,4.488734869444215,Nên mua ngay
we11done,mens,black printed tshirt,220,229.87521671277727,4.488734869444215,Nên mua ngay
we11done,mens,black printed tshirt,300,229.87521671277727,-23.374927762407573,Không nên mua
we11done,mens,black basic large tshirt,275,229.87521671277727,-16.409012104444628,Không nên mua
we11done,mens,black printed tshirt,160,229.87521671277727,43.672010445485796,Nên mua ngay
we11done,mens,black painted sweatpants,505,229.87521671277727,-54.480155106380735,Không nên mua
versace jeans couture,mens,black bonded tshirt,125,-1.8480648058412612,-101.47845184467302,Không nên mua
versace jeans couture,mens,blue bonded tshirt,125,-1.8480648058412612,-101.47845184467302,Không nên mua
versace jeans couture,mens,khaki bonded tshirt,125,-1.8480648058412612,-101.47845184467302,Không nên mua
versace jeans couture,mens,white bonded tshirt,125,-1.8480648058412612,-101.47845184467302,Không nên mua
versace jeans couture,mens,black vemblem tshirt,120,-1.8480648058412612,-101.54005400486771,Không nên mua
versace jeans couture,mens,white vemblem tshirt,120,-1.8480648058412612,-101.54005400486771,Không nên mua
versace jeans couture,mens,black watercolor couture tshirt,225,-1.8480648058412612,-100.82136213592945,Không nên mua
versace jeans couture,mens,white watercolor couture tshirt,225,-1.8480648058412612,-100.82136213592945,Không nên mua
versace jeans couture,mens,black drawstring sweatpants,220,-1.8480648058412612,-100.84002945720056,Không nên mua
versace jeans couture,mens,white drawstring sweatpants,220,-1.8480648058412612,-100.84002945720056,Không nên mua
needles,mens,black cp coat,620,123.0453209614779,-80.15398049008421,Không nên mua
